City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,21.18,77,100,3.73,PN,1701330565
1,moose jaw,50.4001,-105.5344,-4.86,80,10,5.14,CA,1701330566
2,mahibadhoo,3.7833,72.9667,28.39,72,41,2.45,MV,1701330566
3,novodvinsk,64.4165,40.8122,-7.14,98,66,1.83,RU,1701330566
4,port-aux-francais,-49.35,70.2167,2.47,84,64,20.08,TF,1701330439
5,nishinoomote,30.7333,131.0,13.31,66,75,10.8,JP,1701330567
6,wailua homesteads,22.0669,-159.378,22.44,86,40,4.63,US,1701330567
7,codrington,-38.2667,141.9667,15.5,73,97,9.73,AU,1701330568
8,tiksi,71.6872,128.8694,-23.76,93,100,10.68,RU,1701330443
9,ushuaia,-54.8,-68.3,3.81,93,100,4.63,AR,1701330423
10,tommot,58.9564,126.2925,-12.73,90,100,6.65,RU,1701330569
11,fale old settlement,-9.3852,-171.2468,29.32,72,13,7.51,TK,1701330569
12,grytviken,-54.2811,-36.5092,3.54,86,100,4.98,GS,1701330569
13,margaret river,-33.95,115.0667,22.25,60,76,7.26,AU,1701330570
14,invercargill,-46.4,168.35,9.66,71,62,1.96,NZ,1701330570
15,port alfred,-33.5906,26.891,20.66,71,74,4.47,ZA,1701330570
16,ribeira grande,38.5167,-28.7,14.87,67,40,10.8,PT,1701330570
17,enewetak,11.3474,162.3373,27.75,79,100,9.17,MH,1701330571
18,kodiak,57.79,-152.4072,1.73,93,100,6.17,US,1701330566
19,ndele,8.4109,20.6473,29.37,53,98,0.82,CF,1701330571
20,hadibu,12.65,54.0333,27.54,59,10,7.03,YE,1701330572
21,colonia menno,-22.3667,-59.8167,27.81,55,39,3.11,PY,1701330572
22,port augusta,-32.5,137.7667,23.57,50,100,7.59,AU,1701330572
23,olonkinbyen,70.9221,-8.7187,-1.42,88,93,7.11,SJ,1701330572
24,aasiaat,68.7098,-52.8699,-1.72,82,100,3.04,GL,1701330433
25,hobyo,5.3505,48.5268,29.13,65,100,10.15,SO,1701330573
26,albany,42.6001,-73.9662,-0.96,64,36,0.45,US,1701330574
27,lubao,14.9167,120.55,33.84,63,67,7.03,PH,1701330574
28,tha mai,12.6214,102.0048,34.66,54,84,2.33,TH,1701330574
29,punta arenas,-53.15,-70.9167,6.06,70,40,10.29,CL,1701330575
30,cabo san lucas,22.8909,-109.9124,24.31,81,98,2.68,MX,1701330053
31,bethel,41.3712,-73.414,1.17,59,75,0.0,US,1701330463
32,el nido,11.1858,119.3956,28.79,75,77,7.54,PH,1701330575
33,namibe,-15.1961,12.1522,24.44,79,68,2.04,AO,1701330576
34,kerikeri,-35.2268,173.9474,16.62,75,99,1.16,NZ,1701330576
35,waitangi,-43.9535,-176.5597,10.46,86,75,3.58,NZ,1701330576
36,bredasdorp,-34.5322,20.0403,27.79,28,86,3.22,ZA,1701330481
37,xiangyang,32.0422,112.1448,8.51,25,100,2.3,CN,1701330577
38,luwingu,-10.2621,29.9271,24.12,65,100,0.49,ZM,1701330578
39,zhigalovo,54.8097,105.1578,-10.76,94,100,0.24,RU,1701330578
40,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,65,75,3.58,RU,1701330579
41,huarmey,-10.0681,-78.1522,19.2,88,100,2.84,PE,1701330509
42,edinburgh of the seven seas,-37.0676,-12.3116,12.27,64,87,9.21,SH,1701330579
43,takoradi,4.8845,-1.7554,27.41,79,92,1.63,GH,1701330579
44,swift current,50.2834,-107.8014,-8.55,92,20,5.66,CA,1701330580
45,utrik,11.2278,169.8474,27.77,75,100,8.71,MH,1701330580
46,thompson,55.7435,-97.8558,-21.91,71,0,4.63,CA,1701330437
47,kalmunai,7.4167,81.8167,26.93,84,100,4.49,LK,1701330581
48,crane,31.3974,-102.3501,8.81,94,37,9.24,US,1701330581
49,grantsville,40.5999,-112.4644,-0.48,95,100,2.06,US,1701330582
50,bonny,4.4522,7.1681,27.73,78,25,1.92,NG,1701330582
51,waingapu,-9.6567,120.2641,30.09,71,78,4.41,ID,1701330582
52,keflavik,64.0049,-22.5624,1.24,86,40,3.09,IS,1701330583
53,port mathurin,-19.6833,63.4167,25.24,69,0,5.8,MU,1701330583
54,kingston,17.997,-76.7936,25.53,89,20,2.06,JM,1701330359
55,banda aceh,5.5577,95.3222,26.89,85,100,4.22,ID,1701330584
56,artvin,41.1667,41.8333,9.01,55,97,2.28,TR,1701330584
57,puerto natales,-51.7236,-72.4875,3.17,81,60,7.56,CL,1701330390
58,east london,-33.0153,27.9116,22.52,56,75,4.63,ZA,1701330585
59,faya-largeau,17.9257,19.1043,25.94,21,0,8.23,TD,1701330586
60,yuzhno-kurilsk,44.0306,145.8556,0.76,54,100,6.57,RU,1701330586
61,hamilton,39.1834,-84.5333,3.85,79,75,4.12,US,1701330586
62,puerto ayora,-0.7393,-90.3518,24.75,92,37,2.24,EC,1701330587
63,boise,43.6135,-116.2035,-2.56,85,75,1.54,US,1701330577
64,colares,38.7992,-9.4469,17.41,97,100,8.94,PT,1701330481
65,bilibino,68.0546,166.4372,-33.17,97,71,1.42,RU,1701330588
66,iskateley,67.6803,53.1512,-9.99,96,99,3.13,RU,1701330588
67,lower hutt,-41.2167,174.9167,15.17,75,32,7.2,NZ,1701330588
68,tongouson,5.0214,120.1328,28.16,76,100,4.67,PH,1701330589
69,klyuchi,52.2667,79.1667,5.23,75,97,4.53,RU,1701330589
70,constantia,44.1833,28.65,2.61,72,72,1.43,RO,1701330589
71,jamestown,42.097,-79.2353,1.77,80,100,5.14,US,1701330361
72,sungai raya,0.7,108.9,29.9,70,100,2.24,ID,1701330590
73,qaqortoq,60.7167,-46.0333,0.93,57,100,9.67,GL,1701330590
74,san juan nepomuceno,9.9516,-75.082,23.44,94,71,1.81,CO,1701330590
75,amungan,15.3652,119.9582,29.98,68,47,2.79,PH,1701330591
76,chonchi,-42.6128,-73.8092,10.62,92,97,2.05,CL,1701330409
77,iqaluit,63.7506,-68.5145,-3.15,68,40,11.32,CA,1701330591
78,berezovo,63.9381,65.0419,-6.89,95,99,3.7,RU,1701330591
79,ust-nera,64.5667,143.2,-24.44,99,100,2.93,RU,1701330592
80,west island,-12.1568,96.8225,28.99,65,40,5.66,CC,1701330409
81,madimba,-10.4,40.3333,30.62,74,75,7.2,TZ,1701330592
82,el calafate,-50.3408,-72.2768,4.53,71,15,8.46,AR,1701330593
83,viqueque,-8.8673,126.3658,30.71,61,73,2.32,TL,1701330593
84,lerwick,60.1545,-1.1494,4.0,66,77,7.54,GB,1701330593
85,fisterra,42.9049,-9.2629,10.97,55,100,6.17,ES,1701330594
86,dunedin,-45.8742,170.5036,10.45,79,98,2.68,NZ,1701330379
87,shimoda,34.6667,138.95,14.2,55,0,11.22,JP,1701330594
88,udachny,66.4167,112.4,-13.08,92,100,8.61,RU,1701330386
89,san andres,12.5847,-81.7006,29.01,79,20,7.2,CO,1701330595
90,el granada,37.5027,-122.4694,12.54,89,0,0.0,US,1701330583
91,san patricio,28.017,-97.5169,20.47,93,100,5.33,US,1701330595
92,whitehorse,60.7161,-135.0538,-8.57,78,100,7.72,CA,1701330544
93,bayganin,48.6947,55.8742,2.89,54,96,5.21,KZ,1701330596
94,lobujya,27.95,86.8167,-7.63,59,94,3.39,NP,1701330596
95,nguigmi,14.2495,13.1092,28.52,15,5,6.97,NE,1701330596
96,vilyuchinsk,52.9306,158.4028,-3.85,77,100,4.7,RU,1701330597
97,barcelos,41.5388,-8.6151,11.62,96,100,1.79,PT,1701330597
98,yellowknife,62.456,-114.3525,-17.55,89,75,1.54,CA,1701330597
99,salalah,17.0151,54.0924,29.05,65,20,3.09,OM,1701330598
100,xilin hot,43.9667,116.0333,-14.84,79,100,4.6,CN,1701330598
101,isafjordur,66.0755,-23.124,3.02,65,75,4.63,IS,1701330598
102,bamboo flat,11.7,92.7167,29.05,74,100,4.12,IN,1701330598
103,beloyarskiy,63.7119,66.6722,-4.44,95,98,2.24,RU,1701330599
104,cidreira,-30.1811,-50.2056,20.31,95,6,3.31,BR,1701330599
105,san gabriel,34.0961,-118.1058,14.71,78,0,0.0,US,1701330599
106,alaghsas,17.0187,8.0168,20.94,18,0,3.09,NE,1701330600
107,tobol,52.6844,62.5794,-1.43,94,100,7.61,KZ,1701330600
108,papatowai,-46.5619,169.4708,8.66,80,39,3.78,NZ,1701330600
109,selfoss,63.9331,-20.9971,-0.76,80,45,3.47,IS,1701330601
110,el soberbio,-27.2985,-54.1988,25.17,99,30,0.47,AR,1701330601
111,kone,-21.0595,164.8658,25.56,72,94,1.33,NC,1701330467
112,lebu,-37.6167,-73.65,11.27,93,11,5.88,CL,1701330401
113,kapa'a,22.0752,-159.319,23.18,85,40,4.63,US,1701330470
114,quebo,11.3333,-14.9333,24.85,75,65,1.12,GW,1701330604
115,colonia,50.9333,6.95,2.14,91,75,2.06,DE,1701330604
116,uturoa,-16.7333,-151.4333,27.17,83,100,9.08,PF,1701330605
117,acarau,-2.8856,-40.12,26.27,78,68,4.95,BR,1701330605
118,mawlaik,23.6333,94.4167,29.28,43,0,0.88,MM,1701330606
119,blackmans bay,-43.0167,147.3167,14.85,68,97,0.45,AU,1701330606
120,portland,45.5234,-122.6762,4.56,77,100,3.58,US,1701330160
121,kalininsk,51.5,44.4758,2.95,99,100,4.51,RU,1701330607
122,nizao,18.25,-70.2,25.82,84,54,3.91,DO,1701330607
